latitude,longitude,count
40.750742,-73.99653,152
40.71704,-73.987,141
40.732509,-73.98935,196
40.699226,-74.04118,10
40.706019,-74.00858,14
40.707904,-74.01342,5
40.714754,-74.00721,26
40.727093,-73.97864,117
40.739022,-73.98205,93
40.741012,-74.00012,211
40.72596,-73.99834,117
40.720666,-74.00526,81
40.734718,-74.00532,129
40.74618,-73.97759,155
40.752159,-73.97231,90
40.755101,-73.99337,117
40.765714,-73.9856,276
40.758667,-73.98024,5
40.76842,-73.96045,138
40.759015,-73.96732,121
40.776099,-73.98285,125
40.786387,-73.97709,144
40.798502,-73.96811,126
40.802853,-73.95471,20
40.812665,-73.95499,24
40.776777,-73.9541,122
40.791586,-73.94575,54
40.818151,-73.94351,1
40.826201,-73.94879,7
40.840686,-73.94154,4
40.848764,-73.93496,3
40.802395,-73.93359,86
40.759511,-73.99019,186
40.813385,-73.93616,19
40.709677,-74.00365,16
40.826181,-73.9371,3
40.858704,-73.92853,3
40.762174,-73.94917,2
40.775477,-73.9905,13
40.759291,-73.97979,2
40.74964,-73.991889,1
40.751489,-73.990537,1
40.781894,-73.95039,100
40.763742,-73.97268,5
40.757986,-73.97267,2
40.751933,-73.976794,4
40.707467,-74.0178,9
40.714643,-74.014958,3
40.717179,-74.01433,9
40.838745,-73.92234,1
40.853017,-73.91214,1
40.881086,-73.90749,2
40.89095,-73.84702,1
40.701702,-73.67562,100
40.787068,-73.72577,1
40.745341,-73.93907,16
40.771286,-73.92462,11
40.762968,-73.91091,12
40.743796,-73.91949,16
40.774686,-73.90816,6
40.762012,-73.93147,12
40.651378,-73.870779,1
40.695286,-73.98907,28
40.694214,-73.96529,3
40.702348,-73.94288,6
40.670874,-73.89424,1
40.627946,-73.94552,1
40.71209,-73.95427,28
40.670937,-73.93459,1
40.667508,-73.9856,10
40.680398,-73.94824,1
40.68209,-73.97783,10
40.644552,-73.97595,2
40.691234,-73.92637,1
40.726302,-73.94559,3
40.662892,-73.95509,1
40.599256,-73.94118,1
40.6788,-74.00254,11
40.655481,-74.00424,1
40.676938,-73.91858,1
40.583803,-73.95019,1
40.680145,-73.96257,3
40.645099,-73.945032,14
40.749463,-73.81941,1
40.762854,-73.87051,42
40.763015,-73.89052,2
40.772072,-73.87509,3
40.750146,-73.88433,4
40.736076,-73.87804,5
40.724945,-73.8609,2
40.720535,-73.84582,4
40.742869,-73.90377,12
40.724096,-73.90271,1
40.658188,-73.84321,1
40.650519,-73.79567,3
40.674146,-73.79687,1
40.702271,-73.61741,1
